GSTIN of supplier,Trade/Legal name,Invoice number,Invoice type,Invoice Date,Invoice Value(₹),Place of supply,Supply Attract Reverse Charge,Taxable Value (₹),Integrated Tax(₹),Central Tax(₹),State/UT Tax(₹),Cess(₹),GSTR-1/IFF/GSTR-5 Period,GSTR-1/IFF/GSTR-5 Period,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date
27AAATI1446A1Z7,THE INDIAN INSTITUTE OF TECHNOLOGY  MUMBAI.,IITBINT252000415,Regular,05/05/2025,6195,Chhattisgarh,No,5250,945,0,0,0,May'25,11/06/2025,Yes,,100%,,,
27AAATI1446A1Z7,THE INDIAN INSTITUTE OF TECHNOLOGY  MUMBAI.,IITBINT252000423,Regular,05/05/2025,7670,Chhattisgarh,No,6500,1170,0,0,0,May'25,11/06/2025,Yes,,100%,E-Invoice,4be7f02b0a99d33a1167f64696b5aca26dddf7efe54e36cd1d0a6a1166203323,06/05/2025
27AAATI1446A1Z7,THE INDIAN INSTITUTE OF TECHNOLOGY  MUMBAI.,IITBINT252000436,Regular,06/05/2025,3540,Chhattisgarh,No,3000,540,0,0,0,May'25,11/06/2025,Yes,,100%,,,
22AKDPS9367B1Z5,ADITI H P GAS AGENCY,335/25-26,Regular,02/05/2025,11394,Chhattisgarh,No,9655.92,0,869.03,869.03,0,May'25,11/06/2025,Yes,,100%,E-Invoice,caae54df72c039978c19bcc636279e681cb223a6de7c6aa2c45f323430afda30,03/05/2025
22AKDPS9367B1Z5,ADITI H P GAS AGENCY,364/25-26,Regular,05/05/2025,18990,Chhattisgarh,No,16093.2,0,1448.39,1448.39,0,May'25,11/06/2025,Yes,,100%,E-Invoice,c0e98ed930b53585a783a84b0128bd8a6b069a591e0ede426559f40fd0eca060,05/05/2025
07ABPFA9466N1ZI,APEX SCIENTIFIC,APEX/2025-26/094,Regular,29/05/2025,10035,Chhattisgarh,No,8503.91,1530.7,0,0,0,May'25,07/06/2025,Yes,,100%,,,
07AABCH7095Q1ZU,HEICO DYNAMICS PRIVATE LIMITED,HD/DEL/25-26/057,Regular,22/05/2025,42480,Chhattisgarh,No,36000,6480,0,0,0,May'25,10/06/2025,Yes,,100%,,,
07AABCH7095Q1ZU,HEICO DYNAMICS PRIVATE LIMITED,HD/DEL/25-26/058,Regular,22/05/2025,42480,Chhattisgarh,No,36000,6480,0,0,0,May'25,10/06/2025,Yes,,100%,,,
07AABCH7095Q1ZU,HEICO DYNAMICS PRIVATE LIMITED,HD/DEL/25-26/059,Regular,22/05/2025,47200,Chhattisgarh,No,40000,7200,0,0,0,May'25,10/06/2025,Yes,,100%,,,
19AABCI2726B1ZZ,INTER GLOBE AVIATION LTD.,WB1252605AE61170,Regular,02/05/2025,7245,Chhattisgarh,No,6900,345,0,0,0,May'25,11/06/2025,Yes,,100%,,,
19AABCI2726B1ZZ,INTER GLOBE AVIATION LTD.,WB1252605AF51871,Regular,09/05/2025,7893,Chhattisgarh,No,7517,376,0,0,0,May'25,11/06/2025,Yes,,100%,,,
19AABCI2726B1ZZ,INTER GLOBE AVIATION LTD.,WB1252605AG09231,Regular,14/05/2025,5957,Chhattisgarh,No,5673,284,0,0,0,May'25,11/06/2025,Yes,,100%,,,
19AABCI2726B1ZZ,INTER GLOBE AVIATION LTD.,WB1252605AG35134,Regular,15/05/2025,7976,Chhattisgarh,No,7596,380,0,0,0,May'25,11/06/2025,Yes,,100%,,,
22AFLPA7419P1Z8,SARAL MEDICALS,DD000180,Regular,14/05/2025,14806.2,Chhattisgarh,No,12900.04,0,953.08,953.08,0,May'25,10/06/2025,Yes,,100%,,,
09AAXFR8294C1ZE,RAR LIFE SCIENCES,RLS/25-26/26,Regular,19/05/2025,2702200,Chhattisgarh,No,2290000,412200,0,0,0,May'25,10/06/2025,Yes,,100%,E-Invoice,59200b1e79c8972c81bbd5adeecbff2ba3a06187b804db270cbe6c25a3c02fd7,19/05/2025
22ADKFS1249Q1ZM,S S HYDRAULICS & PNEUMATICS,00417/25-26,Regular,14/05/2025,2125,Chhattisgarh,No,1801,0,162.09,162.09,0,May'25,07/06/2025,Yes,,100%,,,
22DZMPS2079P1ZJ,SHRI BALAJI MOBILE,2024-25/057,Regular,07/03/2025,20650,Chhattisgarh,No,17500,0,1575,1575,0,Mar'25,23/05/2025,Yes,,100%,,,
10AABCI2726B1ZH,INTERGLOBE AVIATION LIMITED,BR1252605AB48909,Regular,06/05/2025,4803,Chhattisgarh,No,4574,229,0,0,0,May'25,11/06/2025,Yes,,100%,,,
29AABCI2726B1ZY,INTERGLOBE AVIATION LIMITED,KA1252605AJ33604,Regular,06/05/2025,6869,Chhattisgarh,No,6542,327,0,0,0,May'25,11/06/2025,Yes,,100%,,,
29AABCI2726B1ZY,INTERGLOBE AVIATION LIMITED,KA1252605AL42258,Regular,14/05/2025,4755,Chhattisgarh,No,4529,226,0,0,0,May'25,11/06/2025,Yes,,100%,,,
29AABCI2726B1ZY,INTERGLOBE AVIATION LIMITED,KA1252605AL59206,Regular,15/05/2025,499,Chhattisgarh,No,475,24,0,0,0,May'25,11/06/2025,Yes,,100%,,,
29AABCI2726B1ZY,INTERGLOBE AVIATION LIMITED,KA1252605AL68123,Regular,15/05/2025,5723,Chhattisgarh,No,5450,273,0,0,0,May'25,11/06/2025,Yes,,100%,,,
21AABCI2726B1ZE,INTERGLOBE AVIATION LIMITED,OR1252605AB17877,Regular,02/05/2025,2579,Chhattisgarh,No,2456,123,0,0,0,May'25,11/06/2025,Yes,,100%,,,
21AABCI2726B1ZE,INTERGLOBE AVIATION LIMITED,OR1252605AB29430,Regular,05/05/2025,2794,Chhattisgarh,No,2661,133,0,0,0,May'25,11/06/2025,Yes,,100%,,,
